uid;slug;titre;description;date_debut;date_fin;horaires;dates_texte;lieu_nom;adresse;code_postal;commune;latitude;longitude;categorie;gratuit;image_url;url_source;agenda_source;date_extraction
19424536;lecture-creative-a-savigny-sur-braye;Lecture créative à Savigny-sur-Braye;Votre médiathèque s'anime ! Lecture créative à Savigny-sur-Braye. Une lecture d'album, prolongée par un atelier créatif : 1 livre + 1 atelier. A partir de 5 ans.;2026-03-27;2026-05-26;23:00–22:59;27 mars - 26 mai;Médiathèque-Ludothèque Agora Braye;7 Rue Hélène Boucher, 41360 Savigny-sur-Braye;41360;Savigny-sur-Braye;47.880414;0.807572;Stages et ateliers;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
82892405;marche-de-la-vallee-de-ronsard-a-couture-sur-loir;Marché de la Vallée-de-Ronsard à Couture-sur-Loir;Mettez vos sens en éveil grâce à ce marché ! Marché de la Vallée-de-Ronsard à Couture-sur-Loir. Chaque 2ème et 4ème dimanche de chaque mois, venez rencontrer des producteurs et commerçants locaux : bi;2026-03-21;2026-05-20;23:00–22:59;21 mars - 20 mai;Centre bourgCentre bourgCouture-sur-Loir;41800 Vallée-de-Ronsard;41800;Vallée-de-Ronsard;47.754122;0.687352;Marché;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
20382385;concours-les-couleurs-du-temple-et-du-perche;"Concours "" Les Couleurs du Temple et du Perche""";"Tous à vos appareils ! Concours "" Les Couleurs du Temple et du Perche"". Vous êtes invités à immortaliser des images de notre environnement, qu’il s’agisse de paysages, d’architecture, ou encore de mis";2026-03-02;2026-05-01;23:00–22:59;2 mars - 1 mai;Le Temple;Place du Temple, 41170 Le Temple;41170;Le Temple;47.932304;0.935233;Photographie;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
9515797;concours-photos-point-de-vue-insolite;"Concours photos : ""Point de vue insolite""";"Tous à vos appareils ! Concours photos : ""Point de vue insolite"". Révélez le patrimoine méconnu de notre territoire : capturez ses détails insolites, ses curiosités inattendues et ses secrets bien gar";2026-03-01;2026-04-30;23:00–22:59;1 mars - 30 avril;Vendôme;47 Rue Poterie, 41100 Vendôme;41100;Vendôme;47.793092;1.065706;Photographie;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
34865556;la-jeunesse-bouquine-en-vendomois;La jeunesse bouquine en Vendômois;Au mois d'avril le réseau des médiathèques de Territoires Vendômois vous propose une série de manifestations autour de la littérature de jeunesse. La jeunesse bouquine en Vendômois. Au mois d’avril, l;2026-04-01;2026-04-30;00:00–23:59;1 - 30 avril;Dans les médiathèque du Vendômois;41100 Vendôme;41100;Vendôme;47.797799;1.059645;Littérature;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
40472208;la-jeunesse-bouquine-exposition-mission-potager-2054638;"La Jeunesse bouquine ! - Exposition ""Mission potager""";"La Jeunesse bouquine ! - Exposition ""Mission potager""";2026-03-31;2026-04-25;00:00–23:59;31 mars - 25 avril;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Exposition;;;;Territoires Vendômois;2026-04-07
47425901;atelier-couture-a-selommes;Atelier couture à Selommes;Venez découvrir les techniques de couture tout en réalisant vos propres créations dans une ambiance conviviale et inspirante. Atelier couture à Selommes. L'atelier de couture propose une expérience cr;2026-03-27;2026-04-25;23:00–22:59;27 mars - 25 avril;Médiathèque17 bis;rue Bout de Haies, 41100 Selommes;41100;Selommes;47.753757;1.192781;;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
77141834;heure-du-conte-a-selommes;Heure du conte à Selommes;Petites histoires et grandes émotions. Heure du conte à Selommes. Installez-vous confortablement, laissez votre imagination s'envoler et préparez-vous à découvrir une histoire merveilleuse où les rêve;2026-03-27;2026-04-25;23:00–22:59;27 mars - 25 avril;Médiathèque17B;Rue du Bout des Haies, 41100 Selommes;41100;Selommes;47.75543;1.1925;;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
61464861;partage-de-lecture-a-vendome;Partage de lecture à Vendôme;"Moment de partage ""littéraire"" dans votre médiathèque. Partage de lecture à Vendôme. Vous cherchez des idées de livres à lire ? Vous aimeriez partager vos coups de cœur ? Venez nous retrouver pour un";2026-03-26;2026-04-24;23:00–22:59;26 mars - 24 avril;MédiathèqueMédiathèque;Rue Poterie, 41100 Vendôme;41100;Vendôme;47.792556;1.065475;Littérature;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
5064399;mentalisme-au-gite-de-vendome;Mentalisme au Gîte de Vendome;Vous profiterez du spectacle en petit comité (18 places maximum) pour une convivialité idéale. Mentalisme au Gîte de Vendome. Découvrez le spectacle de mentalisme Remue Méninges « ORIGINES » de Xavier;2026-02-20;2026-04-21;23:00–22:59;20 février - 21 avril;Vendôme;56 Rue du Change, 41100 Vendôme;41100;Vendôme;47.793569;1.067608;Festivals | concerts et spectacles;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
